count,old_condition,new_condition,new_subset
1,Multi-stage Training,Multi-stage Training,
1,OSS-SFT + RL;v5,OSS-SFT + RL; v5,
1,OSS-SFT;v5,OSS-SFT; v5,
1,RL (Code only),RL (Code only),
1,RL (Code only);v5,RL (Code only); v5,
1,RL (Math only),RL (Math only),
1,RL (Math only);v5,RL (Math only); v5,
1,RL only;v5,RL only; v5,
1,RL-only;v5,RL-only; v5,
1,RL-only;v6,RL-only; v6,
1,Reasoning; maj@6,maj@6,Reasoning
1,Russian;pass@1,pass@1,Russian
1,SFT on Magistral Medium Traces + RL;v5,SFT on Magistral Medium Traces + RL; v5,
1,SFT on Magistral Medium Traces;v5,SFT on Magistral Medium Traces; v5,
1,SFT+RL;v5,SFT+RL; v5,
1,SFT+RL;v6,SFT+RL; v6,
1,SFT;v5,SFT; v5,
1,SFT;v6,SFT; v6,
1,Safety; maj@6,maj@6,Safety
1,Sequence-mean,Sequence-mean,
1,Single-stage Training,Single-stage Training,
1,Spanish;pass@1,pass@1,Spanish
1,Stage one,Stage one,
1,Stage two,Stage two,
1,Starting Checkpoint,Starting Checkpoint,
1,Starting Checkpoint;v5,Starting Checkpoint; v5,
1,TAP; vs Gemini 1.5 Pro 002,TAP,vs Gemini 1.5 Pro 002
1,Token-weighted mean,Token-weighted mean,
1,auto-truncation,auto-truncation,
1,baseline; offline evaluation,baseline; offline evaluation,
1,browsing; Ideation,browsing,Ideation
1,browsing; Magnification,browsing,Magnification
1,early checkpoint thinking_budget=0,early checkpoint thinking_budget=0,
1,early checkpoint thinking_budget=16k,early checkpoint thinking_budget=16k,
1,empty scratchpads distilled into Opus 4.5 base,empty scratchpads distilled into Opus 4.5 base,
1,end of instruction-following RL,end of instruction-following RL,
1,experimental scaffold,experimental scaffold,
1,high; 0-shot; Arabic,high; 0-shot,Arabic
1,high; 0-shot; Bengali,high; 0-shot,Bengali
1,high; 0-shot; Chinese (Simplified),high; 0-shot,Chinese (Simplified)
1,high; 0-shot; French,high; 0-shot,French
1,high; 0-shot; German,high; 0-shot,German
1,high; 0-shot; Hindi,high; 0-shot,Hindi
1,high; 0-shot; Indonesian,high; 0-shot,Indonesian
1,high; 0-shot; Italian,high; 0-shot,Italian
1,high; 0-shot; Japanese,high; 0-shot,Japanese
1,high; 0-shot; Korean,high; 0-shot,Korean
1,high; 0-shot; Portuguese (Brazil),high; 0-shot,Portuguese (Brazil)
1,high; 0-shot; Spanish,high; 0-shot,Spanish
1,high; 0-shot; Swahili,high; 0-shot,Swahili
1,high; 0-shot; Yoruba,high; 0-shot,Yoruba
1,high; k=10,high; k=10,
1,main; 0-shot; Arabic,main; 0-shot,Arabic
1,main; 0-shot; Bengali,main; 0-shot,Bengali
1,main; 0-shot; Chinese (Simplified),main; 0-shot,Chinese (Simplified)
1,main; 0-shot; French,main; 0-shot,French
1,main; 0-shot; German,main; 0-shot,German
1,main; 0-shot; Hindi,main; 0-shot,Hindi
1,main; 0-shot; Indonesian,main; 0-shot,Indonesian
1,main; 0-shot; Italian,main; 0-shot,Italian
1,main; 0-shot; Japanese,main; 0-shot,Japanese
1,main; 0-shot; Korean,main; 0-shot,Korean
1,main; 0-shot; Portuguese (Brazil),main; 0-shot,Portuguese (Brazil)
1,main; 0-shot; Spanish,main; 0-shot,Spanish
1,main; 0-shot; Swahili,main; 0-shot,Swahili
1,main; 0-shot; Yoruba,main; 0-shot,Yoruba
1,main; offline evaluation,main; offline evaluation,
1,main; preliminary online prevalence vs 4o; free users,main,preliminary online prevalence vs 4o; free users
1,main; preliminary online prevalence vs 4o; paid users,main,preliminary online prevalence vs 4o; paid users
1,main; without browse; ambiguous questions,main; without browse,ambiguous questions
1,main; without browse; disambiguated questions,main; without browse,disambiguated questions
1,multi-agent system,multi-agent system,
1,multi-agent; website-specific prompts,multi-agent,website-specific prompts
1,no tools; no thinking and API refusals,no tools; no thinking and API refusals,
1,original scratchpads distilled into Opus 4.5 base thinking_budget=16k,original scratchpads distilled into Opus 4.5 base thinking_budget=16k,
1,paraphrased scratchpads distilled into Opus 4.5 base thinking_budget=16k,paraphrased scratchpads distilled into Opus 4.5 base thinking_budget=16k,
1,pass@2,pass@2,
1,pass@3,pass@3,
1,pass@4,pass@4,
1,preview; k=10,preview; k=10,
1,single attempt; Extended Thinking,single attempt; Extended Thinking,
1,strict prompt; Stage 2 Reasoning RL; thinking,strict prompt; Stage 2 Reasoning RL; thinking,
1,strict prompt; Stage 3 Thinking Mode Fusion; non-thinking,strict prompt; Stage 3 Thinking Mode Fusion; non-thinking,
1,strict prompt; Stage 3 Thinking Mode Fusion; thinking,strict prompt; Stage 3 Thinking Mode Fusion; thinking,
1,strict prompt; Stage 4 General RL; non-thinking,strict prompt; Stage 4 General RL; non-thinking,
1,strict prompt; Stage 4 General RL; thinking,strict prompt; Stage 4 General RL; thinking,
1,thinking; 0-shot; Arabic,thinking; 0-shot,Arabic
1,thinking; 0-shot; Bengali,thinking; 0-shot,Bengali
1,thinking; 0-shot; Chinese (Simplified),thinking; 0-shot,Chinese (Simplified)
1,thinking; 0-shot; French,thinking; 0-shot,French
1,thinking; 0-shot; German,thinking; 0-shot,German
1,thinking; 0-shot; Hindi,thinking; 0-shot,Hindi
1,thinking; 0-shot; Indonesian,thinking; 0-shot,Indonesian
1,thinking; 0-shot; Italian,thinking; 0-shot,Italian
1,thinking; 0-shot; Japanese,thinking; 0-shot,Japanese
1,thinking; 0-shot; Korean,thinking; 0-shot,Korean
